Pop,ID,Sex,Len_cm,Tech,Eye_Angle,Head_Angle,Head_Area,Tail_Area,Eye_Lateral,Eye_Angle_Ratio,Dorsal_Lateral,Anal_Lateral,Head_Depth,Tail_Depth,Head_Ratio
AT,1,M,2.5,CJS,0.420505313,0.883487312,0.061219365,0.346075135,0.201000908,0.475960783,0.584252913,0.33486671,0.342983881,0.365208687,0.898075259
AT,2,M,1.97,CJS,0.566290342,0.81290084,0.063805064,0.432204788,0.235674721,0.696629053,0.611829348,0.358211094,0.345014186,0.409532558,0.796024421
AT,3,M,2.06,RVG,0.430792271,0.878324823,0.075644595,0.36742899,0.217899759,0.490470336,0.599464618,0.388744289,0.377365211,0.361086102,0.963885327
AT,4,M,1.94,RVG,0.515799537,0.912912404,0.201557641,0.92578286,0.420560068,0.565004413,0.639528294,0.587162265,0.639662895,0.645659284,0.851079817
AT,5,M,2.12,RVG,0.580111161,0.944171188,0.079516132,0.286496415,0.249658857,0.614413115,0.638277462,0.576397648,0.40687747,0.356501079,0.881139321
AT,6,M,1.89,RVG,0.825811676,1.020589836,0.082030066,0.249731046,0.219921623,0.809151382,0.603831589,0.562543362,0.429834844,0.304878994,1.078288828
AT,7,M,1.97,RVG,0.552181524,0.9527302,0.075096648,0.241968434,0.239175108,0.579578063,0.617860594,0.532423866,0.394808483,0.309180072,0.933448412
AT,8,M,1.82,RVG,0.57081702,0.997120365,0.071662715,0.226158466,0.211600396,0.572465511,0.624677304,0.59629067,0.396353375,0.308253662,0.925149426
AT,9,M,1.99,RVG,0.720768373,0.958991754,0.065366559,0.226689069,0.260446405,0.75158975,0.649394504,0.557199808,0.370311929,0.308913051,0.917781825
AT,10,M,2.16,CJS,0.551305822,0.903322761,0.063275695,0.199732855,0.229354521,0.610308791,0.62925297,0.527671204,0.35398,0.291089029,0.882513274
AT,11,M,2.4,CJS,0.468767283,0.873019705,0.084740587,0.160211375,0.229080853,0.536949258,0.626933901,0.603479928,0.403355408,0.288576764,0.866331112
AT,12,M,2.08,CJS,0.724279079,0.947208123,0.032394385,0.169348883,0.182518892,0.764646187,0.64773158,0.547296646,0.298542512,0.270409639,0.590140512
AT,13,M,2.22,CJS,0.350787018,0.894586282,0.043539347,0.197225874,0.215816355,0.392122062,0.616372862,0.548427328,0.296957464,0.28152,0.815918704
AT,14,M,1.95,CJS,0.751139471,0.928507646,0.107684366,0.312542381,0.291223213,0.808974998,0.638907416,0.594876262,0.465761245,0.402528369,0.934410562
AT,15,F,2.07,CJS,0.62166204,0.878367955,0.091405095,0.332243064,0.267335337,0.707746721,0.615502778,0.53074145,0.420707626,0.388925804,0.862182166
